Date,Close,High,Low,Open,Volume,Return,MA_7,MA_30,Vol_14,RSI_14,MACD,MACD_Signal,features_assembled,features,cluster,distance,is_anomaly,model_used
2024-04-18,166.83194578270678,167.4375970919546,165.36250241682455,165.8489990234375,43122900,-0.009315552126517135,169.6602112103254,170.14747763947932,0.012995094803776778,41.64583666322567,-1.3593060196040767,-1.6988854469199342,"[166.83194578270678,43122900.0,-0.009315552126517135,170.14747763947932,0.012995094803776778,41.64583666322567,-1.3593060196040767,-1.6988854469199342]","[-2.0781440311799,-0.48523031785042187,-0.4991684920619636,-1.9538718662290933,-0.39678115302626504,-0.9946933549412175,-0.5567735873561115,-0.6811687796259349]",3,1.5152140431701546,0,kmeans
2024-04-19,165.02494208062998,165.21357466916862,162.9101239696921,163.8235626220703,68149400,-0.010831281105061041,169.29284979977658,170.0501777803994,0.013230048560078892,38.47280092845728,-1.607434564906498,-1.680595270517247,"[165.02494208062998,68149400.0,-0.010831281105061041,170.0501777803994,0.013230048560078892,38.47280092845728,-1.607434564906498,-1.680595270517247]","[-2.1592823089175375,0.3781172065636178,-0.5738638975016999,-1.958487903968444,-0.3751954797831173,-1.2540915923816582,-0.6225209380656166,-0.6759379145687259]",3,1.5478080097596256,0,kmeans
2024-04-22,164.33986695337822,166.06745127090076,163.5952143613438,164.65757751464844,48116400,-0.004151342934070157,168.89286856960544,169.9350055318666,0.012917222706051099,37.31210888099929,-1.8381687964209732,-1.7121099756979925,"[164.33986695337822,48116400.0,-0.004151342934070157,169.9350055318666,0.012917222706051099,37.31210888099929,-1.8381687964209732,-1.7121099756979925]","[-2.190043627160669,-0.3129678815064862,-0.24467530438404136,-1.9639518321876672,-0.4039354189665958,-1.34897910594561,-0.6836592662719938,-0.6849509041916138]",3,1.60983407254938,0,kmeans
2024-04-23,164.17107024309314,165.85894631264824,163.74412823991457,165.7100067138672,49537800,-0.0010271196722640985,167.6290903210781,169.683809772798,0.01291741314930677,37.01578907751222,-2.011460951317815,-1.7719801708219571,"[164.17107024309314,49537800.0,-0.0010271196722640985,169.683809772798,0.01291741314930677,37.01578907751222,-2.011460951317815,-1.7719801708219571]","[-2.1976229554955085,-0.26393337123928473,-0.09071300206727613,-1.9758689008739954,-0.40391792256239706,-1.3732034895228264,-0.7295769984270026,-0.7020733695384338]",3,1.6145987651325915,0,kmeans
2024-04-24,165.35259713317066,168.09292859262322,165.02496329779848,167.81492614746094,48251800,0.0071969250631551684,166.3780798261467,169.4650482897185,0.01282150451007113,40.57338168034809,-2.0300556688938514,-1.823595270436336,"[165.35259713317066,48251800.0,0.0071969250631551684,169.4650482897185,0.01282150451007113,40.57338168034809,-2.0300556688938514,-1.823595270436336]","[-2.1445699059353904,-0.30829694250959644,0.3145694491904675,-1.986247243364521,-0.41272924177822357,-1.082367417115928,-0.7345040954537707,-0.7168349341648721]",3,1.5398129037038484,0,kmeans
2024-04-25,168.3212618473153,169.39356334150216,166.9510963019663,168.67869567871094,50558300,0.017953541496259273,166.06319646285905,169.3578184413564,0.013796712817552246,48.45181907836306,-1.7846730838846554,-1.8158108331260001,"[168.3212618473153,50558300.0,0.017953541496259273,169.3578184413564,0.013796712817552246,48.45181907836306,-1.7846730838846554,-1.8158108331260001]","[-2.0112705984633825,-0.2287288420935981,0.844657503851993,-1.991334373310083,-0.3231348969139398,-0.43829878831458674,-0.669484349922513,-0.7146086384627328]",3,1.5968124024183847,0,kmeans
2024-04-26,168.66877724193844,170.11835910227322,167.97375605274175,168.09291076660156,44838400,0.002064595944738068,166.10149446889037,169.25753917122904,0.013770580340196313,49.29918614895738,-1.544361590259257,-1.7615209845526516,"[168.66877724193844,44838400.0,0.002064595944738068,169.25753917122904,0.013770580340196313,49.29918614895738,-1.544361590259257,-1.7615209845526516]","[-1.9956664242302966,-0.42605014171183736,0.06164731747889493,-1.9960917583644864,-0.32553574006757635,-0.36902584500394947,-0.605808306395731,-0.6990821139715978]",3,1.3788310568527244,0,kmeans
2024-04-29,172.13386150928326,174.77489926024026,171.86579752591055,172.262939453125,68169400,0.020543720800053622,166.8589110012584,169.33034963703787,0.014747130265879193,56.905950772817555,-1.0620668136391487,-1.621630150369951,"[172.13386150928326,68169400.0,0.020543720800053622,169.33034963703787,0.014747130265879193,56.905950772817555,-1.0620668136391487,-1.621630150369951]","[-1.8400768317214302,0.37880715323967246,0.9723020207790196,-1.9926375307718525,-0.2358181380459007,0.25283331480083404,-0.47801324039412785,-0.6590742944602117]",3,1.775472901483463,0,kmeans
2024-04-30,172.0941804408779,173.7423484830038,168.78792110938284,169.11557006835938,65934800,-0.0002305244770404169,167.86880219557955,169.2562156547897,0.01475503828786083,56.800852847344565,-0.6752626515031181,-1.4323566505965846,"[172.0941804408779,65934800.0,-0.0002305244770404169,169.2562156547897,0.01475503828786083,56.800852847344565,-0.6752626515031181,-1.4323566505965846]","[-1.8418585953921414,0.3017194111240904,-0.051456642968211036,-1.996154547785667,-0.2350916121916991,0.24424147439777277,-0.37552060347136695,-0.6049433711480274]",3,1.4251823064408535,0,kmeans
2024-05-01,168.37091318228207,171.47860143970507,167.90426302381934,168.09291076660156,50383100,-0.021635056159699295,168.44466594256582,169.09868041861685,0.016030622338501686,47.867703586594715,-0.6615284294155686,-1.2781910063603814,"[168.37091318228207,50383100.0,-0.021635056159699295,169.09868041861685,0.016030622338501686,47.867703586594715,-0.6615284294155686,-1.2781910063603814]","[-2.009041148793773,-0.2347727749758365,-1.1062759377868663,-2.00362823379434,-0.11790114482202901,-0.48605070215725404,-0.3718814062350643,-0.5608530538267135]",3,1.6661486286406761,0,kmeans
2024-05-02,171.27999852318183,172.1835138606425,169.67155396857694,171.79629516601562,94214900,0.017277837875419255,169.46022712543564,168.99244240022452,0.013594993915667986,53.96025964239349,-0.41116542560661173,-1.1047858902096277,"[171.27999852318183,94214900.0,0.017277837875419255,168.99244240022452,0.013594993915667986,53.96025964239349,-0.41116542560661173,-1.1047858902096277]","[-1.8784170808512806,1.2773074607986947,0.8113587039806406,-2.0086683099762594,-0.34166721736529426,0.012020682625509217,-0.3055419844807063,-0.5112603794399863]",3,1.9618252404054384,0,kmeans
2024-05-03,185.31919936550048,185.66670996286237,181.3576573355521,182.0725250244141,163224100,0.08196637647926241,172.31259887291134,169.31016150532707,0.025971264884757317,71.35734659344354,0.90960982036151,-0.7019067480954002,"[185.31919936550048,163224100.0,0.08196637647926241,169.31016150532707,0.025971264884757317,71.35734659344354,0.90960982036151,-0.7019067480954002]","[-1.248027350133334,3.6579408686580974,3.999221895037342,-1.9935952832161543,0.7953656409811115,1.4342466103867273,0.04442771851844187,-0.396039706857841]",1,5.082156585013197,0,kmeans
2024-05-06,181.04986495546197,182.88666551151155,179.1336178251023,180.4144287109375,78569700,-0.02303773394584019,174.1309707455037,169.66064417856094,0.02616294188796851,63.49929232630488,1.5934656319817293,-0.24283227207997432,"[181.04986495546197,78569700.0,-0.02303773394584019,169.66064417856094,0.02616294188796851,63.49929232630488,1.5934656319817293,-0.24283227207997432]","[-1.4397294704546322,0.7375897739882125,-1.17540015947837,-1.9769679081928546,0.8129753920430287,0.7918443190189349,0.22563100501064345,-0.26474755404443945]",3,2.4964120149235063,0,kmeans
2024-05-07,182.14201921219637,183.5816778461448,180.02721617336002,181.09950256347656,77305800,0.00603233952703075,176.0557195983977,170.08691601787302,0.025698399256658296,64.57403985057479,2.1982143637658,0.24537705508918053,"[182.14201921219637,77305800.0,0.00603233952703075,170.08691601787302,0.025698399256658296,64.57403985057479,2.1982143637658,0.24537705508918053]","[-1.390689440645389,0.6939885937949412,0.2571784577787755,-1.956744991982146,0.7702969279708026,0.8797057983065111,0.38587305580441705,-0.12512303354405158]",1,1.8642101567253877,0,kmeans
2024-05-08,181.5462890620128,181.76472167822584,180.1562619452029,181.43707275390625,45057100,-0.00327069038083716,177.4003521059305,170.5121942878512,0.025472610339583784,63.47613196540967,2.5994468412028766,0.7161910123119197,"[181.5462890620128,45057100.0,-0.00327069038083716,170.5121942878512,0.025472610339583784,63.47613196540967,2.5994468412028766,0.7161910123119197]","[-1.4174389809627257,-0.41850557480918016,-0.2012765830780265,-1.9365692120528806,0.7495532469052076,0.789950940785317,0.49218880588446917,0.00952653041099851]",1,2.2144967314941075,0,kmeans
2024-05-09,181.2583800534848,183.3434135192828,180.81159149652717,183.25405883789065,48983000,-0.0015858710746196047,178.70952347916003,170.91430718480882,0.025110280509126604,62.91935334047571,2.8612123445977318,1.1451952787690822,"[181.2583800534848,48983000.0,-0.0015858710746196047,170.91430718480882,0.025110280509126604,62.91935334047571,2.8612123445977318,1.1451952787690822]","[-1.4303667027323395,-0.28307249203303975,-0.1182483749009207,-1.9174924289476618,0.7162652780317199,0.7444338379144525,0.5615495815033144,0.1322188094463557]",1,2.0470212335219635,0,kmeans
